facturacion_anual,fortaleza_tecnologica,experiencia_requerida,lugar_trabajo,precio_hora,duracion,presupuesto,numero_perfiles_requeridos,volumetria,exito,prob_exito
Más de 1M,Experto,General,Remoto,Por encima del mercado,10,428256,2,131,1,19
250k a 1M,Básico,Sin Experiencia,Híbrido,Por debajo del mercado,15,81278,16,837,0,36
250k a 1M,Experto,Sin Experiencia,Remoto,Por debajo del mercado,6,468142,8,533,0,32
250k a 1M,Básico,Específica,Presencial,Dentro del mercado,20,60002,12,967,0,71
Menos de 250k,Básico,General,Híbrido,Por debajo del mercado,23,459837,4,918,0,8
Menos de 250k,Experto,Específica,Presencial,Por debajo del mercado,25,358535,13,799,1,98
Menos de 250k,Experto,Específica,Presencial,Dentro del mercado,16,38432,2,781,1,42
Menos de 250k,Básico,Sin Experiencia,Remoto,Por debajo del mercado,30,431021,6,235,1,63
Más de 1M,Intermedio,General,Híbrido,Dentro del mercado,2,49735,17,658,0,33
Más de 1M,Experto,Específica,Remoto,Dentro del mercado,34,87340,12,770,0,97
250k a 1M,Básico,Específica,Presencial,Por debajo del mercado,34,146431,20,892,1,61
Menos de 250k,Intermedio,Específica,Remoto,Dentro del mercado,8,378558,9,593,1,90
250k a 1M,Básico,Sin Experiencia,Presencial,Por debajo del mercado,35,373271,13,796,0,91
Más de 1M,Básico,General,Remoto,Por debajo del mercado,13,181927,15,458,1,22
Menos de 250k,Intermedio,Específica,Presencial,Dentro del mercado,10,138127,20,870,0,15
Menos de 250k,Experto,General,Remoto,Dentro del mercado,6,406524,2,665,1,7
Más de 1M,Básico,Sin Experiencia,Presencial,Por debajo del mercado,26,445403,4,989,0,50
250k a 1M,Básico,General,Remoto,Por encima del mercado,16,120529,15,985,0,61
Más de 1M,Básico,General,Remoto,Por encima del mercado,30,275434,19,931,1,33
250k a 1M,Intermedio,Específica,Híbrido,Por encima del mercado,9,77990,16,603,1,93
250k a 1M,Experto,Sin Experiencia,Remoto,Por debajo del mercado,33,324735,14,147,0,97
250k a 1M,Intermedio,Sin Experiencia,Remoto,Por encima del mercado,7,483476,20,443,0,80
Más de 1M,Básico,General,Remoto,Dentro del mercado,19,238391,11,651,1,80
Más de 1M,Intermedio,General,Híbrido,Por encima del mercado,18,240225,16,152,1,68
250k a 1M,Intermedio,Sin Experiencia,Presencial,Por encima del mercado,8,318234,14,735,1,33
Menos de 250k,Experto,Específica,Híbrido,Dentro del mercado,4,314278,17,496,0,30
Menos de 250k,Básico,Sin Experiencia,Presencial,Por debajo del mercado,23,363464,5,389,1,23
250k a 1M,Básico,General,Híbrido,Por debajo del mercado,23,67277,5,11,1,30
Menos de 250k,Experto,General,Híbrido,Por debajo del mercado,2,453118,12,856,1,9
Más de 1M,Básico,Sin Experiencia,Remoto,Dentro del mercado,19,349268,8,567,0,29
Menos de 250k,Básico,General,Híbrido,Por encima del mercado,15,44946,16,62,0,29
Más de 1M,Intermedio,General,Remoto,Por debajo del mercado,24,182410,9,661,1,88
Menos de 250k,Experto,Específica,Remoto,Dentro del mercado,13,300442,16,23,1,99
250k a 1M,Experto,General,Remoto,Por encima del mercado,11,220396,7,586,0,32
Más de 1M,Intermedio,Específica,Presencial,Por debajo del mercado,2,495516,19,778,0,50
250k a 1M,Intermedio,Específica,Híbrido,Dentro del mercado,36,452192,4,209,1,0
250k a 1M,Básico,Sin Experiencia,Remoto,Dentro del mercado,31,253179,7,610,0,47
Menos de 250k,Experto,Sin Experiencia,Presencial,Dentro del mercado,27,417774,4,37,1,5
Menos de 250k,Experto,Sin Experiencia,Remoto,Por encima del mercado,12,68302,3,311,1,93
250k a 1M,Básico,Sin Experiencia,Híbrido,Dentro del mercado,2,85132,7,749,1,31
250k a 1M,Experto,General,Presencial,Por debajo del mercado,27,39317,7,15,0,33
Más de 1M,Básico,Sin Experiencia,Presencial,Por encima del mercado,16,381223,4,438,0,97
Más de 1M,Experto,Sin Experiencia,Híbrido,Por debajo del mercado,5,84370,10,343,1,52
Menos de 250k,Intermedio,Sin Experiencia,Presencial,Dentro del mercado,29,133821,19,287,1,81
Menos de 250k,Experto,General,Híbrido,Dentro del mercado,9,75521,19,664,0,6
Más de 1M,Básico,General,Remoto,Por debajo del mercado,9,169763,6,985,1,98
250k a 1M,Intermedio,General,Híbrido,Por debajo del mercado,25,360598,13,742,0,27
250k a 1M,Experto,Específica,Remoto,Dentro del mercado,6,214191,6,431,1,97
Menos de 250k,Experto,General,Presencial,Por debajo del mercado,9,85218,17,994,0,40
Más de 1M,Básico,Específica,Remoto,Por debajo del mercado,19,26154,8,900,1,31
Menos de 250k,Experto,Específica,Remoto,Por encima del mercado,30,321528,18,828,1,26
250k a 1M,Intermedio,General,Remoto,Dentro del mercado,2,273476,8,868,0,36
250k a 1M,Intermedio,Específica,Remoto,Dentro del mercado,31,480873,15,778,0,14
250k a 1M,Básico,General,Remoto,Por debajo del mercado,30,232923,4,240,0,68
250k a 1M,Básico,Específica,Presencial,Dentro del mercado,11,434498,19,90,0,82
Menos de 250k,Intermedio,Sin Experiencia,Presencial,Por debajo del mercado,15,314990,2,893,1,58
Más de 1M,Experto,General,Presencial,Por encima del mercado,24,254664,17,208,1,50
250k a 1M,Básico,General,Presencial,Dentro del mercado,30,421088,6,387,0,3
Menos de 250k,Experto,General,Híbrido,Dentro del mercado,2,344494,18,496,1,73
Más de 1M,Básico,Específica,Remoto,Por encima del mercado,24,29599,20,918,1,68
250k a 1M,Intermedio,Específica,Presencial,Dentro del mercado,21,434229,1,643,0,59
Más de 1M,Básico,General,Híbrido,Por debajo del mercado,18,29804,5,291,0,58
Más de 1M,Básico,General,Presencial,Dentro del mercado,32,297803,7,283,1,30
Menos de 250k,Experto,General,Híbrido,Por encima del mercado,8,356656,12,716,0,29
Menos de 250k,Intermedio,General,Remoto,Dentro del mercado,19,247277,17,263,0,61
250k a 1M,Intermedio,Sin Experiencia,Híbrido,Dentro del mercado,14,74193,14,539,0,34
Menos de 250k,Intermedio,Sin Experiencia,Remoto,Por encima del mercado,16,489256,20,761,0,21
Menos de 250k,Básico,Sin Experiencia,Híbrido,Por debajo del mercado,23,16167,1,548,1,86
250k a 1M,Experto,General,Presencial,Por encima del mercado,31,166656,19,481,1,44
Menos de 250k,Intermedio,General,Remoto,Por debajo del mercado,33,470265,2,236,0,32
Más de 1M,Básico,Específica,Remoto,Por debajo del mercado,4,351712,18,142,0,80
Más de 1M,Intermedio,Sin Experiencia,Híbrido,Por debajo del mercado,17,452697,8,529,1,92
Menos de 250k,Básico,General,Remoto,Dentro del mercado,16,208789,20,258,1,14
Más de 1M,Básico,General,Presencial,Dentro del mercado,11,131572,15,140,0,69
Menos de 250k,Básico,General,Remoto,Por debajo del mercado,18,11199,3,986,0,75
Menos de 250k,Intermedio,Sin Experiencia,Remoto,Dentro del mercado,17,333223,5,161,1,71
Menos de 250k,Básico,Sin Experiencia,Híbrido,Por debajo del mercado,30,220557,12,838,1,46
Más de 1M,Básico,General,Presencial,Dentro del mercado,34,336699,6,275,1,52
Más de 1M,Experto,Específica,Presencial,Por debajo del mercado,32,273396,12,219,0,93
250k a 1M,Básico,Sin Experiencia,Presencial,Dentro del mercado,3,78161,9,208,1,67
Menos de 250k,Intermedio,General,Presencial,Dentro del mercado,32,262880,6,756,0,29
Más de 1M,Experto,General,Presencial,Por debajo del mercado,17,91553,3,17,1,44
250k a 1M,Experto,Específica,Presencial,Dentro del mercado,33,455552,14,919,0,76
Más de 1M,Básico,Específica,Híbrido,Dentro del mercado,25,242748,3,990,1,71
Menos de 250k,Intermedio,Específica,Híbrido,Por encima del mercado,2,104000,5,437,1,78
250k a 1M,Experto,Específica,Presencial,Dentro del mercado,21,77314,3,921,1,78
Más de 1M,Intermedio,General,Híbrido,Por debajo del mercado,26,106344,16,530,1,4
250k a 1M,Básico,Específica,Presencial,Por encima del mercado,32,154853,12,568,1,75
250k a 1M,Intermedio,Específica,Presencial,Por encima del mercado,19,66650,13,95,0,27
Más de 1M,Básico,General,Remoto,Por encima del mercado,26,52475,17,585,0,37
Más de 1M,Intermedio,General,Remoto,Dentro del mercado,11,106909,1,67,1,66
Más de 1M,Básico,Específica,Remoto,Por encima del mercado,2,123552,9,362,1,93
Más de 1M,Experto,Específica,Remoto,Dentro del mercado,36,421392,7,828,1,17
Menos de 250k,Experto,Sin Experiencia,Remoto,Dentro del mercado,14,376073,8,179,1,54
250k a 1M,Básico,Específica,Híbrido,Dentro del mercado,13,75836,8,461,0,89
Más de 1M,Experto,General,Presencial,Por debajo del mercado,16,106262,10,436,0,60
Más de 1M,Experto,Sin Experiencia,Presencial,Dentro del mercado,20,442202,13,459,0,0
Menos de 250k,Experto,Sin Experiencia,Presencial,Por encima del mercado,17,262606,17,730,0,77
250k a 1M,Básico,Sin Experiencia,Presencial,Dentro del mercado,36,266232,1,224,1,53
Más de 1M,Básico,General,Presencial,Dentro del mercado,3,450235,10,696,0,49
Menos de 250k,Experto,Específica,Híbrido,Por debajo del mercado,28,130602,2,856,0,12
Menos de 250k,Básico,Sin Experiencia,Remoto,Por encima del mercado,19,73659,18,64,1,83
Más de 1M,Experto,General,Remoto,Por debajo del mercado,17,320418,4,525,1,6
Menos de 250k,Intermedio,Específica,Híbrido,Por encima del mercado,25,433208,7,58,0,62
250k a 1M,Básico,Específica,Híbrido,Por encima del mercado,35,326232,13,74,0,73
Más de 1M,Básico,General,Híbrido,Dentro del mercado,33,51045,11,373,1,26
Menos de 250k,Intermedio,Sin Experiencia,Híbrido,Dentro del mercado,14,171149,9,595,1,30
250k a 1M,Básico,Específica,Remoto,Por debajo del mercado,35,171130,20,946,0,2
Más de 1M,Experto,Específica,Presencial,Por encima del mercado,26,288048,1,202,0,1
250k a 1M,Intermedio,Sin Experiencia,Remoto,Por debajo del mercado,25,251896,13,533,1,54
Menos de 250k,Experto,Específica,Remoto,Por encima del mercado,11,42698,10,321,0,52
Menos de 250k,Intermedio,Sin Experiencia,Híbrido,Por encima del mercado,5,299280,10,968,0,91
Menos de 250k,Básico,Específica,Presencial,Dentro del mercado,25,252228,2,974,1,52
Más de 1M,Intermedio,Sin Experiencia,Remoto,Dentro del mercado,17,475966,10,207,1,45
250k a 1M,Experto,Sin Experiencia,Híbrido,Por debajo del mercado,35,71017,18,926,0,27
Menos de 250k,Experto,General,Presencial,Por encima del mercado,31,168154,10,934,1,15
Menos de 250k,Intermedio,Sin Experiencia,Remoto,Por encima del mercado,29,418821,7,603,1,28
Menos de 250k,Básico,General,Remoto,Por encima del mercado,11,394219,10,950,0,70
Más de 1M,Intermedio,Específica,Híbrido,Dentro del mercado,12,131919,8,149,1,16
Más de 1M,Básico,Específica,Presencial,Dentro del mercado,10,107158,13,21,1,37
Más de 1M,Intermedio,Específica,Presencial,Por debajo del mercado,33,498166,5,116,1,49
250k a 1M,Intermedio,General,Remoto,Por encima del mercado,16,280422,15,771,1,12
Más de 1M,Básico,Específica,Presencial,Por debajo del mercado,25,413020,13,642,1,13
Menos de 250k,Básico,Específica,Remoto,Por encima del mercado,17,257234,3,259,1,55
Menos de 250k,Experto,Sin Experiencia,Remoto,Por debajo del mercado,22,336325,2,769,1,0
250k a 1M,Básico,General,Presencial,Por encima del mercado,12,414144,1,773,0,40
Más de 1M,Experto,General,Presencial,Por encima del mercado,1,342601,12,524,0,74
250k a 1M,Intermedio,Sin Experiencia,Presencial,Por debajo del mercado,14,415551,7,72,0,45
Menos de 250k,Básico,General,Híbrido,Dentro del mercado,11,316504,16,977,0,70
Más de 1M,Básico,General,Híbrido,Por encima del mercado,13,26612,8,710,0,51
250k a 1M,Intermedio,Sin Experiencia,Remoto,Dentro del mercado,8,299914,15,524,0,65
250k a 1M,Básico,Específica,Remoto,Dentro del mercado,36,217200,16,737,0,77
Más de 1M,Intermedio,Sin Experiencia,Híbrido,Por encima del mercado,16,36948,11,847,1,12
Menos de 250k,Básico,General,Híbrido,Dentro del mercado,10,181881,18,854,1,62
Menos de 250k,Intermedio,Sin Experiencia,Híbrido,Dentro del mercado,11,95329,15,519,0,46
Más de 1M,Básico,Sin Experiencia,Híbrido,Dentro del mercado,25,296687,2,965,1,32
Más de 1M,Básico,General,Presencial,Por debajo del mercado,24,310170,19,495,1,7
250k a 1M,Intermedio,Sin Experiencia,Presencial,Dentro del mercado,20,60539,7,732,1,75
Más de 1M,Intermedio,Sin Experiencia,Híbrido,Dentro del mercado,5,273654,7,23,0,27
250k a 1M,Experto,Específica,Híbrido,Por encima del mercado,19,296447,3,970,1,55
Más de 1M,Básico,Específica,Presencial,Por debajo del mercado,23,262058,18,674,1,89
Menos de 250k,Intermedio,Sin Experiencia,Híbrido,Por encima del mercado,25,468912,7,435,1,45
Menos de 250k,Experto,Sin Experiencia,Presencial,Por encima del mercado,6,351491,3,920,0,79
Menos de 250k,Intermedio,Sin Experiencia,Remoto,Por encima del mercado,29,475005,3,134,1,94
Más de 1M,Básico,Sin Experiencia,Híbrido,Por debajo del mercado,20,11178,1,219,0,25
Menos de 250k,Intermedio,General,Híbrido,Por encima del mercado,10,480584,13,433,0,39
Menos de 250k,Básico,General,Híbrido,Dentro del mercado,11,495643,19,391,1,21
Menos de 250k,Básico,Sin Experiencia,Presencial,Por encima del mercado,1,19824,5,156,1,84
250k a 1M,Básico,Sin Experiencia,Híbrido,Dentro del mercado,22,125457,18,277,1,35
Más de 1M,Básico,Sin Experiencia,Remoto,Por encima del mercado,23,201968,8,23,1,9
250k a 1M,Intermedio,Específica,Híbrido,Por debajo del mercado,27,46276,18,639,0,78
Más de 1M,Intermedio,Sin Experiencia,Híbrido,Por debajo del mercado,5,327939,3,192,0,2
250k a 1M,Básico,Sin Experiencia,Remoto,Por encima del mercado,5,66477,10,60,1,73
250k a 1M,Experto,Sin Experiencia,Híbrido,Por debajo del mercado,16,356686,1,428,0,78
250k a 1M,Intermedio,Sin Experiencia,Híbrido,Por debajo del mercado,31,366204,7,542,0,21
Más de 1M,Experto,General,Remoto,Por encima del mercado,8,486769,13,678,1,72
Más de 1M,Experto,Específica,Presencial,Por encima del mercado,15,387970,20,754,0,72
Más de 1M,Experto,Sin Experiencia,Presencial,Por encima del mercado,29,446363,1,699,0,58
Menos de 250k,Intermedio,Específica,Híbrido,Por encima del mercado,16,336965,11,762,0,18
Menos de 250k,Intermedio,General,Presencial,Por debajo del mercado,5,115652,12,897,1,14
Menos de 250k,Experto,Específica,Remoto,Dentro del mercado,30,440196,12,118,1,10
Más de 1M,Básico,Específica,Remoto,Por debajo del mercado,11,196640,12,464,0,32
Menos de 250k,Intermedio,General,Híbrido,Dentro del mercado,27,474353,11,296,1,50
250k a 1M,Intermedio,General,Híbrido,Por encima del mercado,10,132605,10,980,0,100
250k a 1M,Experto,Sin Experiencia,Híbrido,Por debajo del mercado,15,24190,9,729,0,26
250k a 1M,Experto,Sin Experiencia,Remoto,Por encima del mercado,34,385325,7,581,1,5
250k a 1M,Básico,Específica,Presencial,Por debajo del mercado,10,179542,18,357,0,65
Menos de 250k,Intermedio,Específica,Presencial,Por encima del mercado,9,445381,5,138,1,48
250k a 1M,Experto,Sin Experiencia,Presencial,Por encima del mercado,7,358493,20,579,0,16
Menos de 250k,Intermedio,Específica,Remoto,Por debajo del mercado,18,244787,17,324,0,11
Más de 1M,Experto,Sin Experiencia,Remoto,Dentro del mercado,32,268301,9,28,0,15
250k a 1M,Intermedio,General,Presencial,Por encima del mercado,24,166523,2,90,0,83
Más de 1M,Intermedio,General,Remoto,Dentro del mercado,25,412322,19,815,0,34
Menos de 250k,Experto,Sin Experiencia,Presencial,Dentro del mercado,34,425651,8,937,0,89
Más de 1M,Básico,Específica,Híbrido,Por encima del mercado,28,8156,11,916,0,60
250k a 1M,Experto,Sin Experiencia,Remoto,Por debajo del mercado,13,230225,2,494,1,36
Más de 1M,Experto,Sin Experiencia,Presencial,Por debajo del mercado,20,336345,13,128,1,44
250k a 1M,Experto,General,Híbrido,Por encima del mercado,9,102434,2,822,1,93
250k a 1M,Experto,Específica,Remoto,Dentro del mercado,8,34593,9,382,0,90
Menos de 250k,Experto,General,Remoto,Dentro del mercado,30,58856,4,452,1,83
Más de 1M,Básico,Específica,Presencial,Dentro del mercado,10,409732,3,506,1,75
250k a 1M,Intermedio,Sin Experiencia,Presencial,Por encima del mercado,15,484679,17,583,1,13
Menos de 250k,Experto,Específica,Remoto,Por encima del mercado,16,28159,7,466,1,97
Más de 1M,Intermedio,Específica,Híbrido,Por debajo del mercado,32,53279,9,842,0,41
Menos de 250k,Intermedio,Específica,Híbrido,Dentro del mercado,13,194055,19,335,0,1
Más de 1M,Experto,Sin Experiencia,Híbrido,Dentro del mercado,19,86636,18,744,0,49
Más de 1M,Básico,General,Presencial,Por encima del mercado,29,449468,14,929,0,30
Más de 1M,Experto,Específica,Presencial,Por encima del mercado,21,163513,17,485,1,93
Menos de 250k,Experto,General,Híbrido,Dentro del mercado,17,397145,5,467,1,28
Más de 1M,Básico,General,Remoto,Por encima del mercado,21,180279,3,195,0,34
Más de 1M,Intermedio,General,Presencial,Dentro del mercado,23,194784,2,408,1,100
Menos de 250k,Experto,Específica,Híbrido,Por debajo del mercado,14,123906,13,329,1,90
Más de 1M,Intermedio,Sin Experiencia,Híbrido,Por encima del mercado,35,129893,20,169,0,16
Menos de 250k,Básico,Específica,Híbrido,Por debajo del mercado,30,195337,17,882,0,84
250k a 1M,Básico,General,Presencial,Por encima del mercado,4,80021,11,127,1,100
250k a 1M,Experto,Específica,Híbrido,Por encima del mercado,32,152793,5,770,0,81
Más de 1M,Intermedio,Específica,Híbrido,Dentro del mercado,34,257892,16,438,0,92
Menos de 250k,Básico,Específica,Presencial,Dentro del mercado,6,157719,17,464,0,14
250k a 1M,Básico,General,Híbrido,Por encima del mercado,22,185552,16,515,1,62
Menos de 250k,Intermedio,Específica,Presencial,Por encima del mercado,30,358445,16,699,0,66
Más de 1M,Experto,Específica,Presencial,Dentro del mercado,23,209921,4,353,0,4
Más de 1M,Intermedio,Específica,Híbrido,Dentro del mercado,13,252521,5,767,1,27
Menos de 250k,Experto,General,Presencial,Por encima del mercado,15,152108,17,402,1,90
250k a 1M,Básico,Específica,Remoto,Por encima del mercado,3,352816,13,966,0,23
Más de 1M,Experto,Específica,Remoto,Por debajo del mercado,8,491707,19,796,0,75
Más de 1M,Básico,Sin Experiencia,Remoto,Por encima del mercado,7,147203,4,949,0,91
250k a 1M,Experto,Sin Experiencia,Remoto,Por debajo del mercado,24,40069,5,855,1,49
250k a 1M,Básico,General,Híbrido,Por encima del mercado,22,440037,20,580,1,25
Menos de 250k,Intermedio,General,Remoto,Dentro del mercado,26,212784,17,196,1,23
Más de 1M,Intermedio,Específica,Híbrido,Por debajo del mercado,32,116961,13,250,1,1
Menos de 250k,Básico,Específica,Remoto,Dentro del mercado,19,328429,8,995,0,67
Menos de 250k,Intermedio,Sin Experiencia,Remoto,Dentro del mercado,18,29169,5,517,1,7
250k a 1M,Experto,Sin Experiencia,Híbrido,Dentro del mercado,10,308471,9,676,1,32
Menos de 250k,Intermedio,General,Híbrido,Por debajo del mercado,35,77620,4,787,1,65
Menos de 250k,Experto,Específica,Presencial,Por encima del mercado,13,400891,16,746,1,38
Más de 1M,Básico,Sin Experiencia,Presencial,Dentro del mercado,11,200497,8,798,1,41
250k a 1M,Experto,Específica,Remoto,Por debajo del mercado,1,20712,15,718,1,72
250k a 1M,Experto,Sin Experiencia,Híbrido,Por debajo del mercado,11,15321,17,781,0,100
Más de 1M,Intermedio,Específica,Híbrido,Por debajo del mercado,18,85621,10,702,1,26
250k a 1M,Experto,General,Remoto,Por debajo del mercado,31,163421,2,757,0,75
Más de 1M,Experto,General,Remoto,Dentro del mercado,19,235282,7,225,1,60
250k a 1M,Experto,Específica,Remoto,Por debajo del mercado,12,70116,7,645,1,16
Más de 1M,Básico,General,Remoto,Dentro del mercado,6,167889,9,320,1,78
Más de 1M,Experto,Específica,Remoto,Por debajo del mercado,6,480167,6,309,1,57
Menos de 250k,Intermedio,Sin Experiencia,Híbrido,Por debajo del mercado,23,97291,4,923,0,62
250k a 1M,Experto,Sin Experiencia,Híbrido,Por debajo del mercado,14,338543,9,429,1,62
Menos de 250k,Experto,Sin Experiencia,Remoto,Por debajo del mercado,33,89320,9,768,1,32
Más de 1M,Experto,General,Híbrido,Por debajo del mercado,23,110912,7,81,1,79
Menos de 250k,Experto,Específica,Híbrido,Por encima del mercado,13,424032,14,806,0,55
250k a 1M,Intermedio,General,Híbrido,Dentro del mercado,6,388841,12,694,0,92
Menos de 250k,Experto,Específica,Remoto,Por encima del mercado,4,169510,20,139,1,52
Más de 1M,Intermedio,Sin Experiencia,Presencial,Por encima del mercado,30,468541,7,281,1,68
Menos de 250k,Básico,Específica,Remoto,Dentro del mercado,18,255532,7,598,0,0
Más de 1M,Intermedio,Sin Experiencia,Híbrido,Por debajo del mercado,1,439744,10,212,1,58
Más de 1M,Básico,Sin Experiencia,Híbrido,Por encima del mercado,29,226495,20,968,1,91
Menos de 250k,Intermedio,Específica,Presencial,Dentro del mercado,19,418500,13,710,1,78
250k a 1M,Experto,General,Presencial,Por encima del mercado,18,301282,20,981,1,97
Menos de 250k,Básico,Sin Experiencia,Remoto,Dentro del mercado,15,310632,9,593,1,36
Más de 1M,Experto,General,Híbrido,Dentro del mercado,20,368935,5,302,0,75
Menos de 250k,Experto,Sin Experiencia,Híbrido,Por debajo del mercado,7,138486,19,646,1,98
Más de 1M,Experto,General,Presencial,Dentro del mercado,16,312082,7,608,0,30
Menos de 250k,Básico,General,Híbrido,Dentro del mercado,21,406426,17,111,1,2
250k a 1M,Básico,General,Presencial,Por encima del mercado,18,336023,7,337,1,72
Menos de 250k,Intermedio,Sin Experiencia,Híbrido,Por debajo del mercado,32,5865,16,117,0,6
Más de 1M,Básico,Específica,Presencial,Por debajo del mercado,12,230371,11,475,1,50
Menos de 250k,Básico,General,Remoto,Por encima del mercado,6,297468,13,16,0,91
Más de 1M,Básico,General,Remoto,Dentro del mercado,36,12894,11,955,1,78
Menos de 250k,Experto,General,Presencial,Dentro del mercado,14,406369,14,394,1,6
Menos de 250k,Experto,Sin Experiencia,Presencial,Dentro del mercado,34,232695,9,199,1,76
250k a 1M,Intermedio,Sin Experiencia,Híbrido,Por encima del mercado,31,438897,5,692,0,52
250k a 1M,Experto,Sin Experiencia,Presencial,Por encima del mercado,13,59568,13,587,1,42
Menos de 250k,Básico,General,Híbrido,Dentro del mercado,23,327908,20,665,1,27
Menos de 250k,Intermedio,Sin Experiencia,Presencial,Por debajo del mercado,34,84040,3,407,1,64
Más de 1M,Intermedio,General,Remoto,Por encima del mercado,10,275400,9,975,0,7
250k a 1M,Experto,General,Remoto,Dentro del mercado,14,249523,10,361,1,44
Más de 1M,Experto,Específica,Híbrido,Por debajo del mercado,18,125083,14,922,1,44
Menos de 250k,Intermedio,Específica,Híbrido,Por debajo del mercado,22,463493,18,412,0,67
Menos de 250k,Intermedio,General,Híbrido,Por debajo del mercado,20,267120,5,540,1,76
250k a 1M,Experto,General,Híbrido,Por debajo del mercado,13,407385,14,572,1,27
Más de 1M,Intermedio,General,Presencial,Dentro del mercado,21,484807,5,802,1,32
250k a 1M,Intermedio,General,Presencial,Dentro del mercado,28,116458,4,694,1,1
Menos de 250k,Experto,Sin Experiencia,Híbrido,Por debajo del mercado,33,152968,5,708,0,72
250k a 1M,Básico,Específica,Remoto,Por debajo del mercado,8,60087,10,627,1,91
250k a 1M,Básico,General,Remoto,Dentro del mercado,36,217983,12,842,1,90
Más de 1M,Intermedio,General,Remoto,Por debajo del mercado,8,460137,20,820,0,40
Más de 1M,Básico,Específica,Presencial,Por debajo del mercado,6,491841,14,944,1,51
Menos de 250k,Experto,Específica,Remoto,Por debajo del mercado,9,325359,2,825,0,44
Menos de 250k,Intermedio,General,Remoto,Por encima del mercado,11,136469,10,145,0,90
Más de 1M,Experto,Sin Experiencia,Remoto,Por debajo del mercado,10,175498,5,804,0,40
250k a 1M,Intermedio,Sin Experiencia,Presencial,Dentro del mercado,35,108091,10,702,0,46
250k a 1M,Experto,Sin Experiencia,Remoto,Por debajo del mercado,35,97679,5,962,1,88
250k a 1M,Experto,Específica,Remoto,Dentro del mercado,19,390019,10,340,0,94
250k a 1M,Experto,General,Híbrido,Por debajo del mercado,11,67049,11,867,0,19
Menos de 250k,Experto,General,Remoto,Dentro del mercado,7,80860,13,31,0,19
Menos de 250k,Experto,Sin Experiencia,Híbrido,Por debajo del mercado,10,247182,6,895,1,19
Más de 1M,Intermedio,General,Remoto,Por encima del mercado,27,192944,12,246,1,64
Menos de 250k,Básico,Sin Experiencia,Presencial,Dentro del mercado,19,133554,20,770,0,76
250k a 1M,Intermedio,Sin Experiencia,Presencial,Por encima del mercado,13,271917,20,778,0,61
Más de 1M,Básico,Específica,Presencial,Por debajo del mercado,22,31740,12,736,0,93
Más de 1M,Experto,Específica,Remoto,Por encima del mercado,32,362124,13,533,1,79
Más de 1M,Básico,Sin Experiencia,Remoto,Por encima del mercado,12,390279,19,704,1,18
Más de 1M,Intermedio,General,Remoto,Por encima del mercado,34,218429,2,736,0,66
250k a 1M,Experto,General,Presencial,Dentro del mercado,19,348836,3,100,0,84
Más de 1M,Básico,Específica,Híbrido,Por debajo del mercado,4,304994,12,207,1,4
Menos de 250k,Experto,General,Híbrido,Por encima del mercado,23,102552,16,596,0,25
Menos de 250k,Intermedio,General,Presencial,Dentro del mercado,9,403532,6,221,0,10
250k a 1M,Experto,Específica,Híbrido,Por debajo del mercado,25,311680,2,869,1,51
Menos de 250k,Intermedio,Sin Experiencia,Híbrido,Dentro del mercado,3,377401,19,774,0,14
250k a 1M,Intermedio,Específica,Remoto,Por debajo del mercado,28,295468,6,678,0,2
Menos de 250k,Básico,Específica,Híbrido,Dentro del mercado,21,449028,8,284,1,80
Más de 1M,Intermedio,General,Remoto,Dentro del mercado,32,66759,9,922,0,5
250k a 1M,Intermedio,Específica,Presencial,Por debajo del mercado,31,183292,14,38,0,66
Más de 1M,Básico,Sin Experiencia,Híbrido,Dentro del mercado,25,64126,11,357,0,51
250k a 1M,Intermedio,Específica,Presencial,Por encima del mercado,29,360176,9,959,1,64
Menos de 250k,Intermedio,Específica,Híbrido,Por debajo del mercado,27,275247,3,996,1,65
250k a 1M,Intermedio,Sin Experiencia,Híbrido,Dentro del mercado,13,460083,7,816,1,50
Más de 1M,Experto,Sin Experiencia,Remoto,Por encima del mercado,17,192986,10,286,1,14
Más de 1M,Básico,General,Híbrido,Por debajo del mercado,7,209294,7,357,0,56
250k a 1M,Intermedio,Específica,Híbrido,Por encima del mercado,3,114512,14,543,1,18
Más de 1M,Intermedio,General,Híbrido,Dentro del mercado,34,400623,18,575,1,44
Más de 1M,Básico,Sin Experiencia,Híbrido,Dentro del mercado,27,152546,10,267,1,3
250k a 1M,Básico,General,Remoto,Por encima del mercado,22,395068,9,640,0,40
Más de 1M,Experto,Específica,Híbrido,Por debajo del mercado,23,195032,6,546,1,91
Más de 1M,Experto,Específica,Presencial,Dentro del mercado,12,196793,19,942,0,1
250k a 1M,Básico,Específica,Remoto,Por encima del mercado,29,450406,17,714,0,40
Más de 1M,Experto,Sin Experiencia,Presencial,Por encima del mercado,28,139356,18,859,0,39
Más de 1M,Experto,Específica,Presencial,Dentro del mercado,6,405292,20,665,0,74
Menos de 250k,Básico,Sin Experiencia,Presencial,Por debajo del mercado,33,220764,6,54,0,56
Menos de 250k,Básico,Sin Experiencia,Remoto,Por encima del mercado,24,203321,9,882,0,33
Menos de 250k,Básico,Sin Experiencia,Híbrido,Por debajo del mercado,9,29758,6,193,0,32
250k a 1M,Básico,Sin Experiencia,Remoto,Dentro del mercado,34,137210,8,814,0,26
